Classificação,Nome Completo,CPF,Nota Histórico,Média Publicações,Média Histórico,Nota Final
1,Lucas Almeida,12345678901,10.0,5.0,5.0,10.0
2,Giovana Perfeito,756.018.293-30,10.0,5.0,5.0,10.0
3,Evelyn Rocha,790.548.326-65,8.0,5.0,3.0,8.0
4,Maria da Cruz,790.548.326-65,7.4,5.0,2.4,7.4
5,Letícia da Paz,756.018.293-30,7.0,5.0,2.0,7.0
6,Mariano Pimenta,12345678901,6.5,5.0,1.5,6.5
7,Mauricio Silva,287.036.591-86,9.3,1.67,4.3,5.97
8,Sophie Rezende,154.397.062-16,9.0,1.67,4.0,5.67
9,Marcelo Gonçalves,287.036.591-86,8.5,1.67,3.5,5.17
10,Bruna Moraes,154.397.062-16,4.5,1.67,0.0,1.67
